Statistical profiling result from v8.log, (13997 ticks, 10660 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
  10660   76.2%

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
      4   44.4%            LazyCompile: ~mountChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1

    660    4.7%  LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    633   95.9%    LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    469   74.1%      LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    467   99.6%        LazyCompile: _createContentMarkup /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    467  100.0%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    467  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    152   24.0%      LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    139   91.4%        LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    116   83.5%          LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    115   99.1%            LazyCompile: _createContentMarkup /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     13    9.4%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     13  100.0%            LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     10    7.2%          LazyCompile: ~mountChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     10  100.0%            LazyCompile: ~_createContentMarkup /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     13    8.6%        LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     13  100.0%          LazyCompile: perform /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     13  100.0%            LazyCompile: renderToString /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     23    3.5%    LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     23  100.0%      LazyCompile: perform /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     23  100.0%        LazyCompile: renderToString /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     23  100.0%          LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/profile-opt.js:13
     23  100.0%            LazyCompile: $$$internal$$tryCatch /Volumes/Projects/react-perf/node_modules/es6-promise/dist/es6-promise.js:302

    601    4.3%  LazyCompile: _createContentMarkup /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    601  100.0%    LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    601  100.0%      LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    601  100.0%        LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    601  100.0%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    342   56.9%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    259   43.1%            LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1

    536    3.8%  Script: ReactElement.createElement /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    126   23.5%    LazyCompile: *render /Volumes/Projects/react-perf/chat-optimized/components/ThreadListItem.jsx:30
    126  100.0%      LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    126  100.0%        LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    126  100.0%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    126  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    113   21.1%    LazyCompile: *render /Volumes/Projects/react-perf/chat-optimized/components/MessageListItem.jsx:28
    113  100.0%      LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    113  100.0%        LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    113  100.0%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    113  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     69   12.9%    LazyCompile: *<anonymous> /Volumes/Projects/react-perf/chat-optimized/components/ThreadSection.jsx:48
     67   97.1%      LazyCompile: *map native array.js:1215
     67  100.0%        LazyCompile: *render /Volumes/Projects/react-perf/chat-optimized/components/ThreadSection.jsx:47
     67  100.0%          LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     67  100.0%            LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     43    8.0%    LazyCompile: *render /Volumes/Projects/react-perf/chat-optimized/components/ThreadSection.jsx:47
     43  100.0%      LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     43  100.0%        LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     43  100.0%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     43  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     42    7.8%    LazyCompile: *render /Volumes/Projects/react-perf/chat-optimized/components/MessageSection.jsx:56
     42  100.0%      LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     42  100.0%        LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     42  100.0%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     42  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     34    6.3%    LazyCompile: b native v8natives.js:1582
     34  100.0%      LazyCompile: *render /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     34  100.0%        LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     34  100.0%          LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     34  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     33    6.2%    LazyCompile: *render /Volumes/Projects/react-perf/chat-optimized/components/ChatApp.jsx:38
     33  100.0%      LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     33  100.0%        LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     33  100.0%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     33  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     33    6.2%    LazyCompile: *getMessageListItem /Volumes/Projects/react-perf/chat-optimized/components/MessageSection.jsx:24
     31   93.9%      LazyCompile: *map native array.js:1215
     31  100.0%        LazyCompile: *render /Volumes/Projects/react-perf/chat-optimized/components/MessageSection.jsx:56
     31  100.0%          LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     31  100.0%            LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      2    6.1%      LazyCompile: *render /Volumes/Projects/react-perf/chat-optimized/components/MessageSection.jsx:56
      2  100.0%        LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      2  100.0%          LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      2  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     30    5.6%    LazyCompile: *render /Volumes/Projects/react-perf/chat-optimized/components/MessageComposer.jsx:31
     30  100.0%      LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     30  100.0%        LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     30  100.0%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     30  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1

    476    3.4%  LazyCompile: *hasOwnProperty native v8natives.js:249
    108   22.7%    LazyCompile: _createOpenTagMarkupAndPutListeners /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    108  100.0%      LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    108  100.0%        LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    108  100.0%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    108  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     92   19.3%    Script: ReactElement.createElement /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     26   28.3%      LazyCompile: *<anonymous> /Volumes/Projects/react-perf/chat-optimized/components/ThreadSection.jsx:48
     26  100.0%        LazyCompile: *map native array.js:1215
     26  100.0%          LazyCompile: *render /Volumes/Projects/react-perf/chat-optimized/components/ThreadSection.jsx:47
     26  100.0%            LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     23   25.0%      LazyCompile: *render /Volumes/Projects/react-perf/chat-optimized/components/ThreadListItem.jsx:30
     23  100.0%        LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     23  100.0%          LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     23  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     12   13.0%      LazyCompile: *render /Volumes/Projects/react-perf/chat-optimized/components/MessageComposer.jsx:31
     12  100.0%        LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     12  100.0%          LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     12  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      9    9.8%      LazyCompile: b native v8natives.js:1582
      9  100.0%        LazyCompile: *render /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      9  100.0%          LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      9  100.0%            LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      7    7.6%      LazyCompile: *render /Volumes/Projects/react-perf/chat-optimized/components/MessageListItem.jsx:28
      7  100.0%        LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      7  100.0%          LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      7  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      6    6.5%      LazyCompile: *render /Volumes/Projects/react-perf/chat-optimized/components/ThreadSection.jsx:47
      6  100.0%        LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      6  100.0%          LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      6  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      4    4.3%      LazyCompile: *getMessageListItem /Volumes/Projects/react-perf/chat-optimized/components/MessageSection.jsx:24
      4  100.0%        LazyCompile: *map native array.js:1215
      4  100.0%          LazyCompile: *render /Volumes/Projects/react-perf/chat-optimized/components/MessageSection.jsx:56
      4  100.0%            LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      2    2.2%      LazyCompile: *render /Volumes/Projects/react-perf/chat-optimized/components/ChatApp.jsx:38
      2  100.0%        LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      2  100.0%          LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      2  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     51   10.7%    LazyCompile: *flattenSingleChildIntoContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     51  100.0%      LazyCompile: *traverseAllChildrenImpl /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     42   82.4%        LazyCompile: *traverseAllChildrenImpl /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     42  100.0%          LazyCompile: *traverseAllChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     42  100.0%            LazyCompile: *flattenChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      9   17.6%        LazyCompile: *traverseAllChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      9  100.0%          LazyCompile: *flattenChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      9  100.0%            LazyCompile: instantiateChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     45    9.5%    LazyCompile: *ReactDOMComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     45  100.0%      LazyCompile: *createInternalComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     45  100.0%        LazyCompile: *instantiateReactComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     45  100.0%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     45  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     31    6.5%    LazyCompile: createMarkupForProperty /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     30   96.8%      LazyCompile: _createOpenTagMarkupAndPutListeners /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     30  100.0%        LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     30  100.0%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     30  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      1    3.2%      LazyCompile: ~_createOpenTagMarkupAndPutListeners /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      1  100.0%        LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      1  100.0%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      1  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     29    6.1%    LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     29  100.0%      LazyCompile: _createContentMarkup /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     29  100.0%        LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     29  100.0%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     29  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     27    5.7%    Script: assign /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     24   88.9%      LazyCompile: _processChildContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     17   70.8%        LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     14   82.4%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     11   78.6%            LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      3   21.4%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      3   17.6%          LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      3  100.0%            LazyCompile: perform /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      7   29.2%        LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      7  100.0%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      5   71.4%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      2   28.6%            LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      3   11.1%      LazyCompile: *render /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      3  100.0%        LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      3  100.0%          LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      3  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     18    3.8%    LazyCompile: ~flattenSingleChildIntoContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     16   88.9%      LazyCompile: *traverseAllChildrenImpl /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     12   75.0%        LazyCompile: *traverseAllChildrenImpl /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     12  100.0%          LazyCompile: *traverseAllChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     12  100.0%            LazyCompile: *flattenChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      4   25.0%        LazyCompile: *traverseAllChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      4  100.0%          LazyCompile: *flattenChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      4  100.0%            LazyCompile: instantiateChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      2   11.1%      LazyCompile: ~traverseAllChildrenImpl /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      2  100.0%        LazyCompile: ~traverseAllChildrenImpl /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      1   50.0%          LazyCompile: ~traverseAllChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      1  100.0%            LazyCompile: *flattenChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      1   50.0%          LazyCompile: *traverseAllChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      1  100.0%            LazyCompile: *flattenChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     15    3.2%    LazyCompile: instantiateChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     15  100.0%      LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     15  100.0%        LazyCompile: _createContentMarkup /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     15  100.0%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     15  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     13    2.7%    LazyCompile: bindAutoBindMethods /Volumes/Projects/react-perf/node_modules/react/lib/ReactClass.js:696
     13  100.0%      LazyCompile: *Constructor /Volumes/Projects/react-perf/node_modules/react/lib/ReactClass.js:829
     13  100.0%        LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     10   76.9%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     10  100.0%            LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      3   23.1%          LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      3  100.0%            LazyCompile: perform /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1

    395    2.8%  LazyCompile: *StringReplaceGlobalRegExpWithFunction native string.js:374
    394   99.7%    LazyCompile: *replace native string.js:221
    370   93.9%      LazyCompile: *escapeTextContentForBrowser /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    332   89.7%        LazyCompile: *quoteAttributeValueForBrowser /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    185   55.7%          LazyCompile: createMarkupForProperty /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    184   99.5%            LazyCompile: _createOpenTagMarkupAndPutListeners /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    147   44.3%          LazyCompile: *createMarkupForID /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    134   91.2%            LazyCompile: _createOpenTagMarkupAndPutListeners /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     10    6.8%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      3    2.0%            LazyCompile: ~_createOpenTagMarkupAndPutListeners /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     27    7.3%        LazyCompile: _createContentMarkup /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     27  100.0%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     27  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     11    3.0%        LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     11  100.0%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     11  100.0%            LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     24    6.1%      LazyCompile: *wrapUserProvidedKey /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     24  100.0%        LazyCompile: getComponentKey /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     24  100.0%          LazyCompile: *traverseAllChildrenImpl /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     24  100.0%            LazyCompile: *traverseAllChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1

    393    2.8%  LazyCompile: instantiateChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    393  100.0%    LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    393  100.0%      LazyCompile: _createContentMarkup /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    393  100.0%        LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    393  100.0%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    393  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1

    373    2.7%  LazyCompile: *enqueue /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    307   82.3%    LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    201   65.5%      LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    201  100.0%        LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    159   79.1%          LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    159  100.0%            LazyCompile: _createContentMarkup /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     41   20.4%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     40   97.6%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      1    2.4%            LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    104   33.9%      LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    104  100.0%        LazyCompile: _createContentMarkup /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    104  100.0%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    104  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     42   11.3%    LazyCompile: *enqueuePutListener /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     39   92.9%      LazyCompile: _createOpenTagMarkupAndPutListeners /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     39  100.0%        LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     39  100.0%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     39  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      3    7.1%      LazyCompile: ~_createOpenTagMarkupAndPutListeners /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      3  100.0%        LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      3  100.0%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      3  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     23    6.2%    LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     23  100.0%      LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     17   73.9%        LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     17  100.0%          LazyCompile: _createContentMarkup /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     17  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      6   26.1%        LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      4   66.7%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      4  100.0%            LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      2   33.3%          LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      2  100.0%            LazyCompile: perform /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1

    342    2.4%  LazyCompile: b native v8natives.js:1582
    249   72.8%    LazyCompile: *isCustomAttribute /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    249  100.0%      LazyCompile: createMarkupForProperty /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    247   99.2%        LazyCompile: _createOpenTagMarkupAndPutListeners /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    247  100.0%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    247  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     38   11.1%    LazyCompile: *FluxibleMixin.getStore /Volumes/Projects/react-perf/node_modules/fluxible/lib/FluxibleMixin.js:98
     18   47.4%      LazyCompile: *getStateFromStores /Volumes/Projects/react-perf/chat-optimized/components/ThreadSection.jsx:39
     18  100.0%        LazyCompile: *getInitialState /Volumes/Projects/react-perf/chat-optimized/components/ThreadSection.jsx:35
     18  100.0%          LazyCompile: *<anonymous> /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     18  100.0%            LazyCompile: *Constructor /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
