Statistical profiling result from v8.log, (14146 ticks, 10645 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
  10645   75.3%

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
     32  100.0%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     26   81.3%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      6   18.8%            LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/react/react-with-addons.js:1
      5   13.5%        LazyCompile: ~Constructor /Volumes/Projects/node_modules/react/lib/ReactClass.js:829
      5  100.0%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      5  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     46    2.2%    LazyCompile: bindAutoBindMethods /Volumes/Projects/react-perf/react/react-with-addons.js:1
     46  100.0%      LazyCompile: *<anonymous> /Volumes/Projects/react-perf/react/react-with-addons.js:1
     46  100.0%        LazyCompile: *Constructor /Volumes/Projects/react-perf/react/react-with-addons.js:1
     46  100.0%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     46  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1

    878    6.2%  LazyCompile: bindAutoBindMethods /Volumes/Projects/react-perf/react/react-with-addons.js:1
    875   99.7%    LazyCompile: *<anonymous> /Volumes/Projects/react-perf/react/react-with-addons.js:1
    875  100.0%      LazyCompile: *Constructor /Volumes/Projects/react-perf/react/react-with-addons.js:1
    875  100.0%        LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    875  100.0%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    627   71.7%            LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
    248   28.3%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1

    695    4.9%  LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    664   95.5%    LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    472   71.1%      LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
    470   99.6%        LazyCompile: _createContentMarkup /Volumes/Projects/react-perf/react/react-with-addons.js:1
    470  100.0%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    470  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    181   27.3%      LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    159   87.8%        LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    147   92.5%          LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
    146   99.3%            LazyCompile: _createContentMarkup /Volumes/Projects/react-perf/react/react-with-addons.js:1
      9    5.7%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      9  100.0%            LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/react/react-with-addons.js:1
     22   12.2%        LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/react/react-with-addons.js:1
     22  100.0%          LazyCompile: perform /Volumes/Projects/react-perf/react/react-with-addons.js:1
     22  100.0%            LazyCompile: renderToString /Volumes/Projects/react-perf/react/react-with-addons.js:1
     26    3.7%    LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/react/react-with-addons.js:1
     26  100.0%      LazyCompile: perform /Volumes/Projects/react-perf/react/react-with-addons.js:1
     26  100.0%        LazyCompile: renderToString /Volumes/Projects/react-perf/react/react-with-addons.js:1
     26  100.0%          LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/profile.js:13
     26  100.0%            LazyCompile: $$$internal$$tryCatch /Volumes/Projects/react-perf/node_modules/es6-promise/dist/es6-promise.js:302

    607    4.3%  LazyCompile: _createContentMarkup /Volumes/Projects/react-perf/react/react-with-addons.js:1
    603   99.3%    LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    603  100.0%      LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    603  100.0%        LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    603  100.0%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    367   60.9%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    236   39.1%            LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1

    591    4.2%  LazyCompile: *hasOwnProperty native v8natives.js:249
    103   17.4%    LazyCompile: _createOpenTagMarkupAndPutListeners /Volumes/Projects/react-perf/react/react-with-addons.js:1
    103  100.0%      LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    103  100.0%        LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    103  100.0%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    103  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     95   16.1%    LazyCompile: bindAutoBindMethods /Volumes/Projects/react-perf/react/react-with-addons.js:1
     95  100.0%      LazyCompile: *<anonymous> /Volumes/Projects/react-perf/react/react-with-addons.js:1
     95  100.0%        LazyCompile: *Constructor /Volumes/Projects/react-perf/react/react-with-addons.js:1
     95  100.0%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     95  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     91   15.4%    Script: ReactElement.createElement /Volumes/Projects/react-perf/react/react-with-addons.js:1
     22   24.2%      LazyCompile: *<anonymous> /Volumes/Projects/react-perf/chat/components/ThreadSection.jsx:48
     19   86.4%        LazyCompile: *map native array.js:1215
     19  100.0%          LazyCompile: *render /Volumes/Projects/react-perf/chat/components/ThreadSection.jsx:47
     19  100.0%            LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
      3   13.6%        LazyCompile: *render /Volumes/Projects/react-perf/chat/components/ThreadSection.jsx:47
      3  100.0%          LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
      3  100.0%            LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     17   18.7%      LazyCompile: *render /Volumes/Projects/react-perf/chat/components/MessageListItem.jsx:28
     17  100.0%        LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
     17  100.0%          LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     17  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     13   14.3%      LazyCompile: *render /Volumes/Projects/react-perf/chat/components/MessageComposer.jsx:31
     13  100.0%        LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
     13  100.0%          LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     13  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     12   13.2%      LazyCompile: *render /Volumes/Projects/react-perf/chat/components/ThreadListItem.jsx:30
     12  100.0%        LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
     12  100.0%          LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     12  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     10   11.0%      LazyCompile: b native v8natives.js:1582
     10  100.0%        LazyCompile: *render /Volumes/Projects/react-perf/react/react-with-addons.js:1
     10  100.0%          LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
     10  100.0%            LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      6    6.6%      LazyCompile: *render /Volumes/Projects/react-perf/chat/components/MessageSection.jsx:56
      6  100.0%        LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
      6  100.0%          LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      6  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      6    6.6%      LazyCompile: *getMessageListItem /Volumes/Projects/react-perf/chat/components/MessageSection.jsx:24
      6  100.0%        LazyCompile: *map native array.js:1215
      6  100.0%          LazyCompile: *render /Volumes/Projects/react-perf/chat/components/MessageSection.jsx:56
      6  100.0%            LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
      3    3.3%      LazyCompile: *render /Volumes/Projects/react-perf/chat/components/ThreadSection.jsx:47
      3  100.0%        LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
      3  100.0%          LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      3  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      2    2.2%      LazyCompile: *render /Volumes/Projects/react-perf/chat/components/ChatApp.jsx:38
      2  100.0%        LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
      2  100.0%          LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      2  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     54    9.1%    LazyCompile: *ReactDOMComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     54  100.0%      LazyCompile: *createInternalComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     52   96.3%        LazyCompile: instantiateReactComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     52  100.0%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     52  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      2    3.7%        LazyCompile: ~instantiateReactComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      2  100.0%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      2  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     48    8.1%    LazyCompile: *flattenSingleChildIntoContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
     48  100.0%      LazyCompile: *traverseAllChildrenImpl /Volumes/Projects/react-perf/react/react-with-addons.js:1
     32   66.7%        LazyCompile: *traverseAllChildrenImpl /Volumes/Projects/react-perf/react/react-with-addons.js:1
     32  100.0%          LazyCompile: *traverseAllChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
     32  100.0%            LazyCompile: *flattenChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
     16   33.3%        LazyCompile: *traverseAllChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
     16  100.0%          LazyCompile: *flattenChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
     16  100.0%            LazyCompile: instantiateChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
     40    6.8%    Script: assign /Volumes/Projects/react-perf/react/react-with-addons.js:1
     30   75.0%      LazyCompile: _processChildContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
     17   56.7%        LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     17  100.0%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     15   88.2%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      2   11.8%            LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/react/react-with-addons.js:1
     13   43.3%        LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     11   84.6%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      9   81.8%            LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
      2   18.2%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      2   15.4%          LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/react/react-with-addons.js:1
      2  100.0%            LazyCompile: perform /Volumes/Projects/react-perf/react/react-with-addons.js:1
     10   25.0%      LazyCompile: *render /Volumes/Projects/react-perf/react/react-with-addons.js:1
     10  100.0%        LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
     10  100.0%          LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     10  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     36    6.1%    LazyCompile: createMarkupForProperty /Volumes/Projects/react-perf/react/react-with-addons.js:1
     34   94.4%      LazyCompile: _createOpenTagMarkupAndPutListeners /Volumes/Projects/react-perf/react/react-with-addons.js:1
     34  100.0%        LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     34  100.0%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     34  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      2    5.6%      LazyCompile: ~_createOpenTagMarkupAndPutListeners /Volumes/Projects/react-perf/react/react-with-addons.js:1
      2  100.0%        LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      2  100.0%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      2  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     30    5.1%    LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
     30  100.0%      LazyCompile: _createContentMarkup /Volumes/Projects/react-perf/react/react-with-addons.js:1
     30  100.0%        LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     30  100.0%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     30  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     22    3.7%    LazyCompile: ReactElement.createElement /Volumes/Projects/node_modules/react/lib/ReactElement.js:149
     14   63.6%      LazyCompile: *React.createClass.render /Volumes/Projects/react-perf/node_modules/flux-router-component/lib/NavLink.js:106
     14  100.0%        LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
     14  100.0%          LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     14  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      5   22.7%      LazyCompile: *cloneWithProps /Volumes/Projects/node_modules/react/lib/cloneWithProps.js:32
      5  100.0%        LazyCompile: *React.createClass.render /Volumes/Projects/react-perf/node_modules/fluxible/lib/FluxibleComponent.js:25
      5  100.0%          LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
      5  100.0%            LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      3   13.6%      LazyCompile: b native v8natives.js:1582
      3  100.0%        LazyCompile: *createElement /Volumes/Projects/react-perf/node_modules/fluxible/lib/FluxibleContext.js:44
      3  100.0%          LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/profile.js:13
      3  100.0%            LazyCompile: $$$internal$$tryCatch /Volumes/Projects/react-perf/node_modules/es6-promise/dist/es6-promise.js:302
     21    3.6%    LazyCompile: instantiateChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
     21  100.0%      LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
     21  100.0%        LazyCompile: _createContentMarkup /Volumes/Projects/react-perf/react/react-with-addons.js:1
     21  100.0%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     21  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     14    2.4%    LazyCompile: bindAutoBindMethods /Volumes/Projects/node_modules/react/lib/ReactClass.js:696
     14  100.0%      LazyCompile: *Constructor /Volumes/Projects/node_modules/react/lib/ReactClass.js:829
     14  100.0%        LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     11   78.6%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     11  100.0%            LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
      3   21.4%          LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/react/react-with-addons.js:1
      3  100.0%            LazyCompile: perform /Volumes/Projects/react-perf/react/react-with-addons.js:1
     12    2.0%    LazyCompile: ~flattenSingleChildIntoContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
      6   50.0%      LazyCompile: ~traverseAllChildrenImpl /Volumes/Projects/react-perf/react/react-with-addons.js:1
      6  100.0%        LazyCompile: ~traverseAllChildrenImpl /Volumes/Projects/react-perf/react/react-with-addons.js:1
      4   66.7%          LazyCompile: *traverseAllChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
      4  100.0%            LazyCompile: *flattenChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
      2   33.3%          LazyCompile: ~traverseAllChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
      1   50.0%            LazyCompile: ~flattenChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
      1   50.0%            LazyCompile: *flattenChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
      6   50.0%      LazyCompile: *traverseAllChildrenImpl /Volumes/Projects/react-perf/react/react-with-addons.js:1
      5   83.3%        LazyCompile: *traverseAllChildrenImpl /Volumes/Projects/react-perf/react/react-with-addons.js:1
      5  100.0%          LazyCompile: *traverseAllChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
      5  100.0%            LazyCompile: *flattenChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
      1   16.7%        LazyCompile: *traverseAllChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
      1  100.0%          LazyCompile: *flattenChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
      1  100.0%            LazyCompile: instantiateChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1

    555    3.9%  Script: ReactElement.createElement /Volumes/Projects/react-perf/react/react-with-addons.js:1
    160   28.8%    LazyCompile: *render /Volumes/Projects/react-perf/chat/components/ThreadListItem.jsx:30
    160  100.0%      LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
    160  100.0%        LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    160  100.0%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    160  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    110   19.8%    LazyCompile: *render /Volumes/Projects/react-perf/chat/components/MessageListItem.jsx:28
    110  100.0%      LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
    110  100.0%        LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    110  100.0%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    110  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     67   12.1%    LazyCompile: *<anonymous> /Volumes/Projects/react-perf/chat/components/ThreadSection.jsx:48
     61   91.0%      LazyCompile: *map native array.js:1215
     61  100.0%        LazyCompile: *render /Volumes/Projects/react-perf/chat/components/ThreadSection.jsx:47
     61  100.0%          LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
     61  100.0%            LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      5    7.5%      LazyCompile: *render /Volumes/Projects/react-perf/chat/components/ThreadSection.jsx:47
      5  100.0%        LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
      5  100.0%          LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      5  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     47    8.5%    LazyCompile: *render /Volumes/Projects/react-perf/chat/components/MessageSection.jsx:56
     47  100.0%      LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
     47  100.0%        LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     47  100.0%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     47  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     43    7.7%    LazyCompile: *render /Volumes/Projects/react-perf/chat/components/ThreadSection.jsx:47
     43  100.0%      LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
     43  100.0%        LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     43  100.0%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     43  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     37    6.7%    LazyCompile: *render /Volumes/Projects/react-perf/chat/components/MessageComposer.jsx:31
     37  100.0%      LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
     37  100.0%        LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     37  100.0%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     37  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     28    5.0%    LazyCompile: *getMessageListItem /Volumes/Projects/react-perf/chat/components/MessageSection.jsx:24
     28  100.0%      LazyCompile: *map native array.js:1215
     28  100.0%        LazyCompile: *render /Volumes/Projects/react-perf/chat/components/MessageSection.jsx:56
     28  100.0%          LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
     28  100.0%            LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     26    4.7%    LazyCompile: b native v8natives.js:1582
     26  100.0%      LazyCompile: *render /Volumes/Projects/react-perf/react/react-with-addons.js:1
     26  100.0%        LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
     26  100.0%          LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     26  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     26    4.7%    LazyCompile: *render /Volumes/Projects/react-perf/chat/components/ChatApp.jsx:38
     26  100.0%      LazyCompile: *_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
     26  100.0%        LazyCompile: _renderValidatedComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     26  100.0%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     26  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1

    423    3.0%  LazyCompile: *enqueue /Volumes/Projects/react-perf/react/react-with-addons.js:1
    354   83.7%    LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    236   66.7%      LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    236  100.0%        LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    185   78.4%          LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
    185  100.0%            LazyCompile: _createContentMarkup /Volumes/Projects/react-perf/react/react-with-addons.js:1
     49   20.8%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     46   93.9%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      3    6.1%            LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/react/react-with-addons.js:1
    117   33.1%      LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
    117  100.0%        LazyCompile: _createContentMarkup /Volumes/Projects/react-perf/react/react-with-addons.js:1
    117  100.0%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    117  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     36    8.5%    LazyCompile: *enqueuePutListener /Volumes/Projects/react-perf/react/react-with-addons.js:1
     35   97.2%      LazyCompile: _createOpenTagMarkupAndPutListeners /Volumes/Projects/react-perf/react/react-with-addons.js:1
     35  100.0%        LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     35  100.0%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     35  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      1    2.8%      LazyCompile: ~_createOpenTagMarkupAndPutListeners /Volumes/Projects/react-perf/react/react-with-addons.js:1
      1  100.0%        LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      1  100.0%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      1  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     27    6.4%    LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     27  100.0%      LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     21   77.8%        LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
     21  100.0%          LazyCompile: _createContentMarkup /Volumes/Projects/react-perf/react/react-with-addons.js:1
     21  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      6   22.2%        LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      4   66.7%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
      4  100.0%            LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
      2   33.3%          LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/react/react-with-addons.js:1
      2  100.0%            LazyCompile: perform /Volumes/Projects/react-perf/react/react-with-addons.js:1

    383    2.7%  LazyCompile: b native v8natives.js:1582
    260   67.9%    LazyCompile: *isCustomAttribute /Volumes/Projects/react-perf/react/react-with-addons.js:1
    260  100.0%      LazyCompile: createMarkupForProperty /Volumes/Projects/react-perf/react/react-with-addons.js:1
    255   98.1%        LazyCompile: _createOpenTagMarkupAndPutListeners /Volumes/Projects/react-perf/react/react-with-addons.js:1
    255  100.0%          LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    255  100.0%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     24    6.3%    LazyCompile: *render /Volumes/Projects/react-perf/react/react-with-addons.js:1
