Statistical profiling result from v8.log, (14146 ticks, 10645 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
  10645   75.3%

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
     35    0.2%    0.2%  LazyCompile: getComponentKey /Volumes/Projects/react-perf/react/react-with-addons.js:1
     35    0.2%    0.2%  LazyCompile: *toObject /Volumes/Projects/react-perf/node_modules/babel/node_modules/core-js/shim.js:177
     35    0.2%    0.2%  LazyCompile: *assertValidProps /Volumes/Projects/react-perf/react/react-with-addons.js:1
     34    0.2%    0.2%  LazyCompile: _processContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
     34    0.2%    0.2%  LazyCompile: *createInternalComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     33    0.2%    0.2%  LazyCompile: ~findReactContainerForID /Volumes/Projects/react-perf/react/react-with-addons.js:1
     33    0.2%    0.2%  LazyCompile: *isCustomAttribute /Volumes/Projects/react-perf/react/react-with-addons.js:1
     29    0.2%    0.2%  LazyCompile: *getReactRootIDFromNodeID /Volumes/Projects/react-perf/react/react-with-addons.js:1
     29    0.2%    0.2%  LazyCompile: *get /Volumes/Projects/react-perf/react/react-with-addons.js:1
     29    0.2%    0.2%  LazyCompile: *LocalTimezoneString native date.js:254
     27    0.2%    0.2%  LazyCompile: *isInternalComponentType /Volumes/Projects/react-perf/react/react-with-addons.js:1
     26    0.2%    0.2%  LazyCompile: *sort native array.js:741
     25    0.2%    0.2%  LazyCompile: ~_maskContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
     25    0.2%    0.2%  LazyCompile: *isArray native array.js:1488
     21    0.1%    0.1%  LazyCompile: *toString native v8natives.js:1378
     19    0.1%    0.1%  LazyCompile: ~_createOpenTagMarkupAndPutListeners /Volumes/Projects/react-perf/react/react-with-addons.js:1
     19    0.1%    0.1%  LazyCompile: *FluxibleMixin.getStore /Volumes/Projects/react-perf/node_modules/fluxible/lib/FluxibleMixin.js:98
     18    0.1%    0.1%  LazyCompile: *render /Volumes/Projects/react-perf/chat/components/MessageListItem.jsx:28
     18    0.1%    0.1%  LazyCompile: *SubString native string.js:205
     17    0.1%    0.1%  LazyCompile: *createMarkupForID /Volumes/Projects/react-perf/react/react-with-addons.js:1
     16    0.1%    0.1%  LazyCompile: ~bindAutoBindMethods /Volumes/Projects/node_modules/react/lib/ReactClass.js:696
     16    0.1%    0.1%  LazyCompile: *<anonymous> /Volumes/Projects/react-perf/chat/stores/MessageStore.js:55
     15    0.1%    0.1%  RegExp: ^(data|aria)-[a-z_][a-z\\d_.\\-]*$
     15    0.1%    0.1%  LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/react/react-with-addons.js:1
     15    0.1%    0.1%  LazyCompile: *substr native string.js:695
     15    0.1%    0.1%  LazyCompile: *oneArgumentPooler /Volumes/Projects/react-perf/react/react-with-addons.js:1
     15    0.1%    0.1%  LazyCompile: *TimeString native date.js:240
     14    0.1%    0.1%  LazyCompile: ~assign /Volumes/Projects/node_modules/react/lib/Object.assign.js:16
     14    0.1%    0.1%  LazyCompile: renderToString /Volumes/Projects/react-perf/react/react-with-addons.js:1
     14    0.1%    0.1%  LazyCompile: *standardReleaser /Volumes/Projects/react-perf/react/react-with-addons.js:1
     14    0.1%    0.1%  LazyCompile: *render /Volumes/Projects/react-perf/chat/components/ThreadSection.jsx:47
     14    0.1%    0.1%  LazyCompile: *render /Volumes/Projects/react-perf/chat/components/MessageSection.jsx:56
     14    0.1%    0.1%  LazyCompile: *indexOf native string.js:118
     14    0.1%    0.1%  LazyCompile: *getInitialState /Volumes/Projects/react-perf/react/react-with-addons.js:1
     14    0.1%    0.1%  LazyCompile: *getAllChrono /Volumes/Projects/react-perf/chat/stores/ThreadStore.js:29
     14    0.1%    0.1%  LazyCompile: *enqueuePutListener /Volumes/Projects/react-perf/react/react-with-addons.js:1
     13    0.1%    0.1%  LazyCompile: closeAll /Volumes/Projects/react-perf/react/react-with-addons.js:1
     13    0.1%    0.1%  LazyCompile: *<anonymous> /Volumes/Projects/react-perf/chat/components/ThreadSection.jsx:48
     12    0.1%    0.1%  LazyCompile: ~_createContentMarkup /Volumes/Projects/react-perf/react/react-with-addons.js:1
     11    0.1%    0.1%  LazyCompile: STRING_ADD_LEFT native runtime.js:183
     11    0.1%    0.1%  LazyCompile: *invariant /Volumes/Projects/node_modules/react/lib/invariant.js:25
     11    0.1%    0.1%  LazyCompile: *React.createClass.render /Volumes/Projects/react-perf/node_modules/flux-router-component/lib/NavLink.js:106
     10    0.1%    0.1%  LazyCompile: ~b native v8natives.js:1582
     10    0.1%    0.1%  LazyCompile: ~_processChildContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
     10    0.1%    0.1%  LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/node_modules/flux-router-component/lib/RouterMixin.js:43
     10    0.1%    0.1%  LazyCompile: assign /Volumes/Projects/node_modules/react/lib/Object.assign.js:16
     10    0.1%    0.1%  LazyCompile: *getStore /Volumes/Projects/react-perf/node_modules/fluxible/node_modules/dispatchr/lib/Dispatcher.js:130
     10    0.1%    0.1%  LazyCompile: *floor native math.js:97
     10    0.1%    0.1%  LazyCompile: *cloneWithProps /Volumes/Projects/node_modules/react/lib/cloneWithProps.js:32
     10    0.1%    0.1%  LazyCompile: *RouterMixin.getChildContext /Volumes/Projects/react-perf/node_modules/flux-router-component/lib/RouterMixin.js:41
      9    0.1%    0.1%  LazyCompile: ~instantiateChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
      9    0.1%    0.1%  LazyCompile: *TwoDigitString native date.js:213
      8    0.1%    0.1%  Stub: ToBooleanStub_SmiSpecObjectString
      8    0.1%    0.1%  LazyCompile: ~traverseAllChildrenImpl /Volumes/Projects/react-perf/react/react-with-addons.js:1
      8    0.1%    0.1%  LazyCompile: ~InsertionSort native array.js:764
      8    0.1%    0.1%  LazyCompile: *traverseAllChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
      8    0.1%    0.1%  LazyCompile: *render /Volumes/Projects/react-perf/chat/components/MessageComposer.jsx:31
      8    0.1%    0.1%  LazyCompile: *o.(anonymous function) /Volumes/Projects/react-perf/node_modules/babel/node_modules/core-js/shim.js:738
      8    0.1%    0.1%  LazyCompile: *createElement /Volumes/Projects/react-perf/node_modules/fluxible/lib/FluxibleContext.js:44
      8    0.1%    0.1%  LazyCompile: *<anonymous> /Volumes/Projects/react-perf/chat/stores/ThreadStore.js:33
      7    0.0%    0.0%  LazyCompile: ~getCount /Volumes/Projects/react-perf/chat/stores/UnreadThreadStore.js:24
      7    0.0%    0.0%  LazyCompile: *getAllForThread /Volumes/Projects/react-perf/chat/stores/MessageStore.js:52
      7    0.0%    0.0%  LazyCompile: *addChecksumToMarkup /Volumes/Projects/react-perf/react/react-with-addons.js:1
      7    0.0%    0.0%  KeyedLoadIC: string
      6    0.0%    0.0%  Script: ~/Volumes/Projects/react-perf/react/react-with-addons.js
      6    0.0%    0.0%  LazyCompile: ~mergeIntoWithNoDuplicateKeys /Volumes/Projects/react-perf/react/react-with-addons.js:1
      6    0.0%    0.0%  LazyCompile: *reinitializeTransaction /Volumes/Projects/react-perf/react/react-with-addons.js:1
      6    0.0%    0.0%  LazyCompile: *flattenChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
      6    0.0%    0.0%  LazyCompile: *createReactRootIndex /Volumes/Projects/react-perf/react/react-with-addons.js:1
      6    0.0%    0.0%  LazyCompile: *_processProps /Volumes/Projects/react-perf/react/react-with-addons.js:1
      6    0.0%    0.0%  LazyCompile: *UseSparseVariant native array.js:111
      6    0.0%    0.0%  LazyCompile: *$define.Symbol /Volumes/Projects/react-perf/node_modules/babel/node_modules/core-js/shim.js:610
      5    0.0%    0.0%  RegExp: [=.:]
      5    0.0%    0.0%  LazyCompile: ~assertValidProps /Volumes/Projects/react-perf/react/react-with-addons.js:1
      5    0.0%    0.0%  LazyCompile: ~Constructor /Volumes/Projects/node_modules/react/lib/ReactClass.js:829
      5    0.0%    0.0%  LazyCompile: perform /Volumes/Projects/react-perf/react/react-with-addons.js:1
      5    0.0%    0.0%  LazyCompile: *toTimeString native date.js:337
      5    0.0%    0.0%  LazyCompile: *render /Volumes/Projects/react-perf/chat/components/ChatApp.jsx:38
      5    0.0%    0.0%  LazyCompile: *mergedResult /Volumes/Projects/react-perf/react/react-with-addons.js:1
      5    0.0%    0.0%  LazyCompile: *getInitialState /Volumes/Projects/react-perf/chat/components/ChatApp.jsx:31
      5    0.0%    0.0%  LazyCompile: *createReactRootID /Volumes/Projects/react-perf/react/react-with-addons.js:1
      5    0.0%    0.0%  LazyCompile: *React.createClass.getChildContext /Volumes/Projects/react-perf/node_modules/fluxible/lib/FluxibleComponent.js:18
      5    0.0%    0.0%  CallNormal: args_count: 0 {3}
      4    0.0%    0.0%  LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/profile.js:13
      4    0.0%    0.0%  LazyCompile: initializeAll /Volumes/Projects/react-perf/react/react-with-addons.js:1
      4    0.0%    0.0%  LazyCompile: *random native math.js:192
      4    0.0%    0.0%  LazyCompile: *processChildContext /Volumes/Projects/react-perf/react/react-with-addons.js:1
      4    0.0%    0.0%  LazyCompile: *getReactMountReady /Volumes/Projects/react-perf/react/react-with-addons.js:1
      4    0.0%    0.0%  LazyCompile: *React.createClass.getInitialState /Volumes/Projects/react-perf/node_modules/flux-router-component/lib/NavLink.js:35
      4    0.0%    0.0%  LazyCompile: *React.createClass._getHrefFromProps /Volumes/Projects/react-perf/node_modules/flux-router-component/lib/NavLink.js:45
      3    0.0%    0.0%  Stub: ElementsTransitionAndStoreStub
      3    0.0%    0.0%  LazyCompile: QuickSort native array.js:793
      3    0.0%    0.0%  LazyCompile: *wrapUserProvidedKey /Volumes/Projects/react-perf/react/react-with-addons.js:1
      3    0.0%    0.0%  LazyCompile: *slice native string.js:510
      3    0.0%    0.0%  LazyCompile: *guard /Volumes/Projects/react-perf/react/react-with-addons.js:1
      3    0.0%    0.0%  LazyCompile: *getStateFromStores /Volumes/Projects/react-perf/chat/components/MessageSection.jsx:45
      3    0.0%    0.0%  LazyCompile: *getInitialState /Volumes/Projects/react-perf/chat/components/MessageSection.jsx:41
      3    0.0%    0.0%  LazyCompile: *destructor /Volumes/Projects/react-perf/react/react-with-addons.js:1
